case_id,nverts,D,R,dmax,cover
166,4,22.4605138245,11.2302569123,11.2302569123,1
167,4,32.0872412332,16.0436206166,16.0436206166,1
168,5,31.8757650158,15.9378825079,15.9378825079,1
169,4,8.3283320756,4.1641660378,4.1641660378,1
170,4,19.4927815487,9.7463907744,9.7463907744,1
171,6,9.0494628728,4.5247314364,4.8052674865,0
172,3,5.1377149412,2.5688574706,2.5688574706,1
173,4,68.8094249346,34.4047124673,34.4047124673,1
174,4,237.8512115771,118.9256057886,118.9256057886,1
175,4,61.4255103884,30.7127551942,30.7127551942,1
176,4,13.2277861223,6.6138930611,6.6138930611,1
177,4,54.9761118048,27.4880559024,27.4880559024,1
178,3,5.5924568326,2.7962284163,2.7962284163,1
179,5,7.9946268504,3.9973134252,4.6903092963,0
180,4,49.2575912572,24.6287956286,24.6287956286,1
181,4,34.8550905630,17.4275452815,17.4275452815,1
182,4,45.7121850121,22.8560925060,22.8560925060,1
183,4,42.5690639007,21.2845319503,21.2845319503,1
184,3,3.7633069465,1.8816534732,2.0483031802,0
185,4,143.4037519550,71.7018759775,71.7018759775,1
186,4,32.8095925339,16.4047962669,16.4047962669,1
187,3,0.5561563392,0.2780781696,0.2998547515,0
188,4,3.6230367184,1.8115183592,1.8115183592,1
189,3,82.7516274617,41.3758137309,41.3758137309,1
190,3,2.0086135101,1.0043067551,1.2625511337,0
191,4,8.7647687952,4.3823843976,4.3823843976,1
192,5,13.5961560697,6.7980780349,6.7980780349,1
193,3,45.5833027096,22.7916513548,22.7916513548,1
194,4,12.0488410464,6.0244205232,6.0244205232,1
195,4,55.5912036742,27.7956018371,27.7956018371,1
196,4,62.5375917328,31.2687958664,31.2687958664,1
197,5,11.8005024061,5.9002512030,5.9002512030,1
198,4,408.2527302542,204.1263651271,204.1263651271,1
199,4,67.1886400261,33.5943200130,33.5943200130,1
200,4,27.4689423230,13.7344711615,13.7344711615,1
